NAICS2017 Label,Number Employed,Name,GEO ID,Population,Broadband (%),Year,Percent Employed
"Arts, entertainment, and recreation",25.0,"St. Clair County, Alabama",0500000US01115,86937.0,0.77703458,2017,0.0002875645582433256
"Arts, entertainment, and recreation",55.0,"Winston County, Alabama",0500000US01133,23968.0,0.55454546,2017,0.0022947263017356477
"Arts, entertainment, and recreation",1298.0,"Baldwin County, Alabama",0500000US01003,203360.0,0.82068217,2017,0.006382769472856019
"Arts, entertainment, and recreation",120.0,"Cullman County, Alabama",0500000US01043,81703.0,0.78934407,2017,0.00146873431820129
"Arts, entertainment, and recreation",0.0,"Elmore County, Alabama",0500000US01051,80989.0,0.86145735,2017,0.0
"Arts, entertainment, and recreation",459.0,"Houston County, Alabama",0500000US01069,104108.0,0.75857788,2017,0.004408883082952318
"Arts, entertainment, and recreation",0.0,"Jackson County, Alabama",0500000US01071,52326.0,0.58921164,2017,0.0
"Arts, entertainment, and recreation",0.0,"Talladega County, Alabama",0500000US01121,80888.0,0.82093501,2017,0.0
"Arts, entertainment, and recreation",525.0,"Tuscaloosa County, Alabama",0500000US01125,204424.0,0.80076486,2017,0.0025681916017688726
"Arts, entertainment, and recreation",103.0,"Coffee County, Alabama",0500000US01031,51073.0,0.59725398,2017,0.00201672116382433
"Arts, entertainment, and recreation",283.0,"Morgan County, Alabama",0500000US01103,119157.0,0.76088643,2017,0.002375017833614475
"Arts, entertainment, and recreation",81.0,"Pike County, Alabama",0500000US01109,33287.0,0.50367647,2017,0.002433382401538138
"Arts, entertainment, and recreation",68.0,"Chilton County, Alabama",0500000US01021,43805.0,0.59402984,2017,0.0015523342084236959
"Arts, entertainment, and recreation",159.0,"Colbert County, Alabama",0500000US01033,54435.0,0.56603777,2017,0.0029209148525764675
"Arts, entertainment, and recreation",340.0,"Sherburne County, Minnesota",0500000US27141,92024.0,0.90823805,2017,0.0036946883421716072
"Arts, entertainment, and recreation",0.0,"Wadena County, Minnesota",0500000US27159,13626.0,0.59649122,2017,0.0
"Arts, entertainment, and recreation",91.0,"Benton County, Minnesota",0500000US27009,39360.0,0.5866667,2017,0.0023119918699186994
"Arts, entertainment, and recreation",1130.0,"Carver County, Minnesota",0500000US27019,98799.0,0.95135617,2017,0.011437362726343384
"Arts, entertainment, and recreation",102.0,"Freeborn County, Minnesota",0500000US27047,30619.0,0.63983053,2017,0.0033312649008785393
"Arts, entertainment, and recreation",0.0,"Itasca County, Minnesota",0500000US27061,45237.0,0.59142858,2017,0.0
"Arts, entertainment, and recreation",144.0,"McLeod County, Minnesota",0500000US27085,35816.0,0.62283736,2017,0.0040205494750949295
"Arts, entertainment, and recreation",0.0,"Pope County, Minnesota",0500000US27121,10932.0,0.56976748,2017,0.0
"Arts, entertainment, and recreation",6488.0,"Ramsey County, Minnesota",0500000US27123,537893.0,0.89391464,2017,0.0120618784776898
"Arts, entertainment, and recreation",0.0,"Stevens County, Minnesota",0500000US27149,9759.0,0.64516127,2017,0.0
"Arts, entertainment, and recreation",35.0,"Swift County, Minnesota",0500000US27151,9448.0,0.67105263,2017,0.0037044877222692633
"Arts, entertainment, and recreation",379.0,"Winona County, Minnesota",0500000US27169,50992.0,0.5335052,2017,0.007432538437401945
"Arts, entertainment, and recreation",17.0,"Cottonwood County, Minnesota",0500000US27033,11437.0,0.63157892,2017,0.0014864037772143045
"Arts, entertainment, and recreation",2900.0,"Scott County, Minnesota",0500000US27139,141463.0,0.94295663,2017,0.020500060086383012
