,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
237,"Lucas County, Ohio",0500000US39095,67.3,39,095,"Lucas County, Ohio",0.70385891
238,"Medina County, Ohio",0500000US39103,77,39,103,"Medina County, Ohio",0.84626788
239,"Portage County, Ohio",0500000US39133,70.8,39,133,"Portage County, Ohio",0.68855095
240,"Summit County, Ohio",0500000US39153,71.6,39,153,"Summit County, Ohio",0.6493451
241,"Warren County, Ohio",0500000US39165,76.5,39,165,"Warren County, Ohio",0.75899988
242,"Wayne County, Ohio",0500000US39169,73.4,39,169,"Wayne County, Ohio",0.6726441999999999
243,"Comanche County, Oklahoma",0500000US40031,62,40,031,"Comanche County, Oklahoma",0.7553075
244,"Tulsa County, Oklahoma",0500000US40143,66.3,40,143,"Tulsa County, Oklahoma",0.59943372
245,"Deschutes County, Oregon",0500000US41017,59.1,41,017,"Deschutes County, Oregon",0.81616187
246,"Jackson County, Oregon",0500000US41029,66.3,41,029,"Jackson County, Oregon",0.70006806
247,"Lane County, Oregon",0500000US41039,68.8,41,039,"Lane County, Oregon",0.76442045
248,"Linn County, Oregon",0500000US41043,68.3,41,043,"Linn County, Oregon",0.74783629
249,"Allegheny County, Pennsylvania",0500000US42003,71.3,42,003,"Allegheny County, Pennsylvania",0.75600886
250,"Beaver County, Pennsylvania",0500000US42007,72.3,42,007,"Beaver County, Pennsylvania",0.56418127
251,"Berks County, Pennsylvania",0500000US42011,75.1,42,011,"Berks County, Pennsylvania",0.7728163
252,"Blair County, Pennsylvania",0500000US42013,72.1,42,013,"Blair County, Pennsylvania",0.77303553
253,"Bucks County, Pennsylvania",0500000US42017,75.6,42,017,"Bucks County, Pennsylvania",0.89169937
254,"Butler County, Pennsylvania",0500000US42019,73.8,42,019,"Butler County, Pennsylvania",0.83256805
255,"Cambria County, Pennsylvania",0500000US42021,68.3,42,021,"Cambria County, Pennsylvania",0.70811045
256,"Chester County, Pennsylvania",0500000US42029,75.6,42,029,"Chester County, Pennsylvania",0.90399337
257,"Dauphin County, Pennsylvania",0500000US42043,71.4,42,043,"Dauphin County, Pennsylvania",0.71573156
258,"Delaware County, Pennsylvania",0500000US42045,73,42,045,"Delaware County, Pennsylvania",0.80730355
259,"Erie County, Pennsylvania",0500000US42049,73.4,42,049,"Erie County, Pennsylvania",0.71374506
260,"Fayette County, Pennsylvania",0500000US42051,65.1,42,051,"Fayette County, Pennsylvania",0.53674066
261,"Franklin County, Pennsylvania",0500000US42055,72.7,42,055,"Franklin County, Pennsylvania",0.77900648
262,"Lancaster County, Pennsylvania",0500000US42071,77.2,42,071,"Lancaster County, Pennsylvania",0.7358678000000001
263,"Monroe County, Pennsylvania",0500000US42089,55.6,42,089,"Monroe County, Pennsylvania",0.86363554
264,"Montgomery County, Pennsylvania",0500000US42091,75.5,42,091,"Montgomery County, Pennsylvania",0.82112378
265,"Philadelphia County, Pennsylvania",0500000US42101,62.4,42,101,"Philadelphia County, Pennsylvania",0.61947548
266,"Washington County, Pennsylvania",0500000US42125,71.2,42,125,"Washington County, Pennsylvania",0.62155688
267,"Westmoreland County, Pennsylvania",0500000US42129,71.6,42,129,"Westmoreland County, Pennsylvania",0.73095912
268,"York County, Pennsylvania",0500000US42133,76.9,42,133,"York County, Pennsylvania",0.75270593
269,"Anderson County, South Carolina",0500000US45007,68.2,45,007,"Anderson County, South Carolina",0.60620713
270,"Greenville County, South Carolina",0500000US45045,71.7,45,045,"Greenville County, South Carolina",0.65851253
271,"Horry County, South Carolina",0500000US45051,50.5,45,051,"Horry County, South Carolina",0.77240837
272,"Lexington County, South Carolina",0500000US45063,71.9,45,063,"Lexington County, South Carolina",0.64942867
273,"Richland County, South Carolina",0500000US45079,69.9,45,079,"Richland County, South Carolina",0.73095697
274,"Spartanburg County, South Carolina",0500000US45083,66.1,45,083,"Spartanburg County, South Carolina",0.65790784
275,"York County, South Carolina",0500000US45091,73.3,45,091,"York County, South Carolina",0.77761382
276,"Minnehaha County, South Dakota",0500000US46099,73.2,46,099,"Minnehaha County, South Dakota",0.62808836
277,"Knox County, Tennessee",0500000US47093,71.4,47,093,"Knox County, Tennessee",0.77480322
278,"Montgomery County, Tennessee",0500000US47125,64.1,47,125,"Montgomery County, Tennessee",0.64609677
279,"Sumner County, Tennessee",0500000US47165,72.4,47,165,"Sumner County, Tennessee",0.74834627
280,"Williamson County, Tennessee",0500000US47187,76.7,47,187,"Williamson County, Tennessee",0.8973614
281,"Bexar County, Texas",0500000US48029,66.8,48,029,"Bexar County, Texas",0.65387136
282,"Brazoria County, Texas",0500000US48039,65.4,48,039,"Brazoria County, Texas",0.87185019
283,"Cameron County, Texas",0500000US48061,56.4,48,061,"Cameron County, Texas",0.45468
284,"Ellis County, Texas",0500000US48139,69.6,48,139,"Ellis County, Texas",0.63036621
285,"El Paso County, Texas",0500000US48141,70.8,48,141,"El Paso County, Texas",0.62596744
286,"Fort Bend County, Texas",0500000US48157,72.8,48,157,"Fort Bend County, Texas",0.67837316
287,"Galveston County, Texas",0500000US48167,58.6,48,167,"Galveston County, Texas",0.62013525
288,"Gregg County, Texas",0500000US48183,65.8,48,183,"Gregg County, Texas",0.65995741
289,"Hidalgo County, Texas",0500000US48215,55.9,48,215,"Hidalgo County, Texas",0.52102411
