,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Broadband (%),GEO ID
46,"Conecuh County, Alabama",12649.0,6625.0,6007.0,183.0,37.0,44.0,2.0,0.5,0500000US01035
47,"Perry County, Alabama",9680.0,2875.0,6735.0,7.0,23.0,0.0,40.0,0.44303799,0500000US01105
48,"Walker County, Alabama",64927.0,60301.0,4498.0,773.0,342.0,36.0,156.0,0.79550987,0500000US01127
49,"Cleburne County, Alabama",14939.0,14328.0,572.0,78.0,95.0,0.0,79.0,0.57723576,0500000US01029
50,"Greene County, Alabama",8533.0,1609.0,6984.0,168.0,0.0,0.0,53.0,0.41935483,0500000US01063
51,"Barbour County, Alabama",26201.0,12394.0,12660.0,135.0,232.0,0.0,996.0,0.4789916,0500000US01005
52,"Bibb County, Alabama",22580.0,17511.0,5080.0,169.0,0.0,0.0,8.0,0.60674155,0500000US01007
53,"Bullock County, Alabama",10478.0,2368.0,7925.0,179.0,73.0,0.0,2.0,0.55555558,0500000US01011
54,"Calhoun County, Alabama",115527.0,88613.0,25229.0,1422.0,1514.0,64.0,1588.0,0.76647949,0500000US01015
55,"Chambers County, Alabama",33895.0,19867.0,13545.0,172.0,386.0,0.0,259.0,0.57284766,0500000US01017
56,"Clarke County, Alabama",24625.0,13216.0,11342.0,19.0,127.0,22.0,7.0,0.64220184,0500000US01025
57,"Fayette County, Alabama",16657.0,14481.0,2272.0,63.0,93.0,68.0,0.0,0.55333334,0500000US01057
58,"Montgomery County, Alabama",227120.0,87264.0,132123.0,1456.0,7156.0,193.0,3470.0,0.84465063,0500000US01101
59,"Marshall County, Alabama",94738.0,89361.0,2759.0,1417.0,741.0,61.0,2166.0,0.8351264000000002,0500000US01095
60,"Blount County, Alabama",57667.0,56001.0,1201.0,709.0,286.0,53.0,466.0,0.58669353,0500000US01009
61,"Henry County, Alabama",17110.0,12284.0,4819.0,77.0,36.0,25.0,48.0,0.62686563,0500000US01067
62,"Madison County, Alabama",353213.0,250582.0,90285.0,6298.0,11977.0,835.0,4575.0,0.89404434,0500000US01089
63,"Autauga County, Alabama",55036.0,43036.0,10777.0,458.0,824.0,123.0,738.0,0.61818182,0500000US01001
64,"Tallapoosa County, Alabama",40756.0,28773.0,11335.0,290.0,262.0,0.0,451.0,0.5668934,0500000US01123
65,"Geneva County, Alabama",26572.0,23573.0,2736.0,430.0,137.0,0.0,274.0,0.5864979,0500000US01061
66,"Wilcox County, Alabama",10919.0,2987.0,7904.0,26.0,0.0,0.0,52.0,0.54455447,0500000US01131
67,"Kodiak Island Borough, Alaska",13773.0,8097.0,79.0,2581.0,3254.0,193.0,634.0,0.43181819,0500000US02150
68,"Denali Borough, Alaska",2303.0,2093.0,14.0,117.0,264.0,39.0,5.0,0.56521738,0500000US02068
69,"Valdez-Cordova Census Area, Alaska",9439.0,7508.0,46.0,1891.0,496.0,269.0,93.0,0.52688169,0500000US02261
70,"Kenai Peninsula Borough, Alaska",57961.0,51705.0,660.0,6910.0,1469.0,401.0,519.0,0.48214287,0500000US02122
71,"Aleutians West Census Area, Alaska",5784.0,2027.0,355.0,858.0,2410.0,231.0,399.0,0.39393941,0500000US02016
72,"Bristol Bay Borough, Alaska",917.0,539.0,8.0,396.0,22.0,13.0,21.0,0.42857143,0500000US02060
73,"Northwest Arctic Borough, Alaska",7715.0,1165.0,81.0,6559.0,137.0,36.0,81.0,0.48979592,0500000US02188
74,"Bethel Census Area, Alaska",17957.0,2570.0,215.0,15521.0,278.0,50.0,125.0,0.54545456,0500000US02050
75,"North Slope Borough, Alaska",9757.0,3553.0,203.0,5617.0,639.0,302.0,158.0,0.375,0500000US02185
76,"Sitka City and Borough, Alaska",8810.0,6660.0,123.0,2135.0,770.0,64.0,144.0,0.2888889,0500000US02220
77,"Fairbanks North Star Borough, Alaska",100031.0,83815.0,6717.0,11473.0,4807.0,873.0,1214.0,0.86337143,0500000US02090
78,"Ketchikan Gateway Borough, Alaska",13745.0,10422.0,230.0,2925.0,1369.0,127.0,118.0,0.45394737,0500000US02130
79,"Matanuska-Susitna Borough, Alaska",101135.0,92155.0,2307.0,11228.0,2783.0,851.0,893.0,0.90876383,0500000US02170
80,"Yakutat City and Borough, Alaska",682.0,418.0,9.0,295.0,62.0,15.0,11.0,0.42857143,0500000US02282
81,"Nome Census Area, Alaska",9869.0,2279.0,143.0,7958.0,205.0,50.0,14.0,0.40909091,0500000US02180
82,"Dillingham Census Area, Alaska",4974.0,1146.0,56.0,3961.0,130.0,7.0,37.0,0.66666663,0500000US02070
83,"Haines Borough, Alaska",2537.0,2191.0,26.0,319.0,124.0,11.0,37.0,0.34285712,0500000US02100
84,"Juneau City and Borough, Alaska",32434.0,24992.0,723.0,5866.0,3126.0,592.0,608.0,0.49557522,0500000US02110
85,"Lake and Peninsula Borough, Alaska",1301.0,363.0,14.0,934.0,61.0,15.0,2.0,0.63636363,0500000US02164
86,"Southeast Fairbanks Census Area, Alaska",6889.0,5781.0,225.0,1042.0,156.0,36.0,69.0,0.55263156,0500000US02240
87,"Yukon-Koyukuk Census Area, Alaska",5453.0,1521.0,26.0,4163.0,40.0,4.0,9.0,0.47169811,0500000US02290
88,"Anchorage Municipality, Alaska",298225.0,215326.0,23417.0,37535.0,35709.0,9515.0,8526.0,0.94184846,0500000US02020
89,"Aleutians East Borough, Alaska",3338.0,731.0,188.0,1426.0,936.0,61.0,224.0,0.3888889,0500000US02013
90,"Prince of Wales-Hyder Census Area, Alaska",6473.0,3675.0,36.0,3237.0,105.0,57.0,37.0,0.65909088,0500000US02198
91,"Wrangell City and Borough, Alaska",2475.0,1836.0,6.0,757.0,88.0,7.0,1.0,0.65625,0500000US02275
92,"Skagway Municipality, Alaska",1038.0,902.0,10.0,95.0,67.0,0.0,20.0,0.375,0500000US02230
93,"Pima County, Arizona",1007257.0,811721.0,48369.0,50280.0,40753.0,3920.0,101935.0,0.89244461,0500000US04019
94,"Maricopa County, Arizona",4155501.0,3365553.0,273545.0,117941.0,207985.0,19177.0,328219.0,0.87293696,0500000US04013
95,"Gila County, Arizona",53145.0,42678.0,532.0,9564.0,541.0,8.0,1371.0,0.44711539,0500000US04007
96,"Graham County, Arizona",37700.0,30646.0,835.0,5641.0,322.0,124.0,1113.0,0.51310861,0500000US04009
97,"Santa Cruz County, Arizona",46358.0,40425.0,322.0,355.0,448.0,0.0,5298.0,0.50591719,0500000US04023
98,"Cochise County, Arizona",126516.0,111538.0,6853.0,3363.0,4181.0,1053.0,5946.0,0.82404226,0500000US04003
99,"La Paz County, Arizona",20477.0,15999.0,342.0,3035.0,178.0,54.0,1508.0,0.28333333,0500000US04012
100,"Mohave County, Arizona",204691.0,189061.0,3331.0,6828.0,3524.0,824.0,6020.0,0.86169481,0500000US04015
101,"Apache County, Arizona",71602.0,17604.0,925.0,53580.0,390.0,172.0,692.0,0.4124437,0500000US04001
102,"Coconino County, Arizona",138639.0,92558.0,2869.0,39478.0,3673.0,682.0,4623.0,0.77260703,0500000US04005
103,"Yavapai County, Arizona",220972.0,207901.0,2305.0,6286.0,3292.0,244.0,6039.0,0.84668058,0500000US04025
104,"Yuma County, Arizona",204281.0,153267.0,5780.0,4611.0,3859.0,661.0,41673.0,0.84571642,0500000US04027
105,"Greenlee County, Arizona",9368.0,8571.0,197.0,384.0,48.0,0.0,206.0,0.40322581,0500000US04011
106,"Navajo County, Arizona",107902.0,54566.0,1772.0,50094.0,1004.0,187.0,3888.0,0.55681682,0500000US04017
107,"Pinal County, Arizona",405537.0,338807.0,22811.0,26797.0,10015.0,2717.0,20724.0,0.85738784,0500000US04021
108,"White County, Arkansas",78706.0,73721.0,4194.0,943.0,701.0,55.0,1118.0,0.82391131,0500000US05145
109,"Nevada County, Arkansas",8528.0,5547.0,2910.0,58.0,122.0,1.0,0.0,0.60344827,0500000US05099
110,"St. Francis County, Arkansas",26688.0,11240.0,15030.0,122.0,172.0,0.0,454.0,0.51898736,0500000US05123
111,"Pulaski County, Arkansas",392848.0,233596.0,147701.0,4132.0,10868.0,276.0,7960.0,0.81423807,0500000US05119
112,"Clay County, Arkansas",15190.0,14791.0,211.0,139.0,17.0,17.0,203.0,0.5648854999999999,0500000US05021
113,"Cross County, Arkansas",17164.0,12988.0,4186.0,328.0,15.0,0.0,70.0,0.44827586,0500000US05037
114,"Dallas County, Arkansas",7585.0,4284.0,3135.0,34.0,146.0,34.0,67.0,0.51724136,0500000US05039
115,"Drew County, Arkansas",18620.0,12980.0,5389.0,111.0,88.0,57.0,231.0,0.62992126,0500000US05043
116,"Columbia County, Arkansas",23992.0,14697.0,8556.0,74.0,266.0,0.0,571.0,0.38797814,0500000US05027
117,"Randolph County, Arkansas",17514.0,17119.0,262.0,220.0,134.0,0.0,75.0,0.50344825,0500000US05121
118,"Saline County, Arkansas",116252.0,106256.0,8310.0,1284.0,1643.0,342.0,749.0,0.9002369,0500000US05125
119,"Van Buren County, Arkansas",16751.0,16433.0,187.0,395.0,50.0,30.0,135.0,0.42253521,0500000US05141
120,"Boone County, Arkansas",37212.0,36434.0,250.0,772.0,283.0,36.0,36.0,0.52547771,0500000US05009
121,"Izard County, Arkansas",13521.0,13009.0,270.0,303.0,32.0,49.0,53.0,0.47872341,0500000US05065
122,"Independence County, Arkansas",37097.0,34970.0,1055.0,422.0,374.0,6.0,1084.0,0.58964139,0500000US05063
123,"Lincoln County, Arkansas",13885.0,9263.0,4400.0,96.0,0.0,0.0,172.0,0.42500001,0500000US05079
124,"Logan County, Arkansas",21802.0,20478.0,681.0,437.0,277.0,0.0,366.0,0.49006623,0500000US05083
125,"Grant County, Arkansas",18076.0,17488.0,531.0,194.0,101.0,5.0,41.0,0.55833334,0500000US05053
126,"Crittenden County, Arkansas",49278.0,23745.0,25397.0,1856.0,419.0,79.0,229.0,0.52989131,0500000US05035
127,"Franklin County, Arkansas",17803.0,17099.0,231.0,539.0,127.0,25.0,63.0,0.5182482,0500000US05047
128,"Faulkner County, Arkansas",121282.0,102818.0,14799.0,1634.0,2013.0,209.0,2733.0,0.80467725,0500000US05045
129,"Pike County, Arkansas",10893.0,9972.0,408.0,156.0,88.0,0.0,492.0,0.43661973,0500000US05109
130,"Jefferson County, Arkansas",71373.0,29740.0,40552.0,508.0,707.0,0.0,726.0,0.70155936,0500000US05069
131,"Marion County, Arkansas",16374.0,16022.0,67.0,377.0,103.0,0.0,60.0,0.46875,0500000US05089
132,"Montgomery County, Arkansas",9059.0,8414.0,48.0,342.0,142.0,10.0,238.0,0.57333332,0500000US05097
133,"Scott County, Arkansas",10584.0,9797.0,77.0,350.0,383.0,28.0,255.0,0.390625,0500000US05127
134,"Searcy County, Arkansas",7925.0,7676.0,78.0,160.0,106.0,0.0,92.0,0.43137255,0500000US05129
135,"Sebastian County, Arkansas",127362.0,103891.0,9929.0,4516.0,6313.0,116.0,8067.0,0.81791461,0500000US05131
136,"Crawford County, Arkansas",62119.0,57665.0,1204.0,2704.0,1204.0,46.0,1362.0,0.5452323,0500000US05033
137,"Benton County, Arkansas",251823.0,228504.0,5660.0,7384.0,10553.0,1498.0,5574.0,0.56039518,0500000US05007
138,"Chicot County, Arkansas",11008.0,4825.0,6003.0,58.0,57.0,0.0,137.0,0.53191489,0500000US05017
139,"Hot Spring County, Arkansas",33480.0,29133.0,3949.0,518.0,259.0,26.0,469.0,0.54404145,0500000US05059
140,"Johnson County, Arkansas",26155.0,24671.0,601.0,480.0,503.0,34.0,525.0,0.40853655,0500000US05071
141,"Lee County, Arkansas",9614.0,4093.0,5531.0,60.0,10.0,0.0,0.0,0.39393941,0500000US05077
142,"Madison County, Arkansas",15907.0,15435.0,198.0,491.0,66.0,73.0,65.0,0.41999999,0500000US05087
143,"Desha County, Arkansas",12094.0,5975.0,5786.0,61.0,73.0,5.0,336.0,0.53846151,0500000US05041
144,"Fulton County, Arkansas",12092.0,11890.0,84.0,264.0,37.0,7.0,46.0,0.55882353,0500000US05049
145,"Howard County, Arkansas",13472.0,9232.0,2876.0,208.0,30.0,0.0,1396.0,0.63380283,0500000US05061
146,"Garland County, Arkansas",97994.0,86049.0,9299.0,1439.0,883.0,302.0,2497.0,0.84228766,0500000US05051
147,"Mississippi County, Arkansas",43534.0,27174.0,15667.0,345.0,257.0,18.0,781.0,0.37820515,0500000US05093
148,"Pope County, Arkansas",63372.0,59545.0,2649.0,1045.0,901.0,17.0,1125.0,0.41860467,0500000US05115
149,"Prairie County, Arkansas",8309.0,7142.0,1138.0,54.0,1.0,0.0,28.0,0.37142858,0500000US05117
150,"Union County, Arkansas",40022.0,26163.0,13323.0,429.0,310.0,0.0,173.0,0.53892213,0500000US05139
151,"Woodruff County, Arkansas",6763.0,4794.0,1914.0,14.0,111.0,6.0,5.0,0.6226415,0500000US05147
