,Name,Population,White,Black or African American,American Indian and Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Broadband (%),GEO ID
875,"Buchanan County, Iowa",21101.0,20822.0,206.0,93.0,151.0,21.0,42.0,0.59281439,0500000US19019
876,"Clay County, Iowa",16387.0,16114.0,353.0,88.0,80.0,28.0,110.0,0.57534248,0500000US19041
877,"Clinton County, Iowa",47587.0,45574.0,1949.0,343.0,489.0,25.0,298.0,0.63182902,0500000US19045
878,"Decatur County, Iowa",8105.0,7856.0,203.0,79.0,53.0,17.0,20.0,0.62903225,0500000US19053
879,"Smith County, Kansas",3693.0,3645.0,61.0,32.0,29.0,20.0,13.0,0.29411763,0500000US20183
880,"Grant County, Kansas",7716.0,6612.0,23.0,80.0,0.0,0.0,1164.0,0.44897962,0500000US20067
881,"Jackson County, Kansas",13322.0,12091.0,184.0,1482.0,33.0,34.0,41.0,0.64705878,0500000US20085
882,"Kingman County, Kansas",7576.0,7506.0,65.0,121.0,43.0,18.0,15.0,0.48214287,0500000US20095
883,"Logan County, Kansas",2790.0,2761.0,40.0,45.0,14.0,0.0,21.0,0.53571433,0500000US20109
884,"Cherokee County, Kansas",20501.0,19587.0,272.0,1445.0,91.0,95.0,66.0,0.62702703,0500000US20021
885,"Nemaha County, Kansas",10095.0,9911.0,98.0,129.0,67.0,6.0,12.0,0.49484536,0500000US20131
886,"Pottawatomie County, Kansas",23188.0,22402.0,223.0,636.0,319.0,2.0,180.0,0.55555558,0500000US20149
887,"Wyandotte County, Kansas",163227.0,104590.0,41478.0,2771.0,7735.0,555.0,13881.0,0.77911997,0500000US20209
888,"Butler County, Kansas",66260.0,63223.0,1753.0,1334.0,1008.0,83.0,329.0,0.89296418,0500000US20015
889,"Clay County, Kansas",8203.0,8036.0,90.0,107.0,56.0,0.0,18.0,0.62337661,0500000US20027
890,"Lincoln County, Kansas",3121.0,3097.0,21.0,15.0,5.0,0.0,0.0,0.58823526,0500000US20105
891,"Saline County, Kansas",55334.0,50166.0,2723.0,656.0,1540.0,88.0,2231.0,0.54347825,0500000US20169
892,"Sumner County, Kansas",23336.0,22607.0,399.0,553.0,142.0,25.0,203.0,0.60317457,0500000US20191
893,"Trego County, Kansas",2899.0,2803.0,28.0,52.0,46.0,0.0,9.0,0.57575756,0500000US20195
894,"Wabaunsee County, Kansas",6918.0,6792.0,69.0,126.0,52.0,21.0,34.0,0.45161289,0500000US20197
895,"Wilson County, Kansas",8858.0,8688.0,109.0,307.0,77.0,0.0,11.0,0.5633803000000001,0500000US20205
896,"Woodson County, Kansas",3178.0,3096.0,79.0,115.0,35.0,0.0,10.0,0.41379312,0500000US20207
897,"Mitchell County, Kansas",6230.0,6104.0,72.0,31.0,42.0,7.0,18.0,0.5,0500000US20123
898,"Ness County, Kansas",3001.0,2943.0,7.0,6.0,10.0,0.0,39.0,0.53846151,0500000US20135
899,"Osborne County, Kansas",3684.0,3618.0,24.0,76.0,10.0,0.0,28.0,0.5,0500000US20141
900,"Atchison County, Kansas",16466.0,15773.0,1131.0,266.0,94.0,22.0,63.0,0.62204725,0500000US20005
901,"Bourbon County, Kansas",14757.0,14007.0,592.0,273.0,185.0,0.0,33.0,0.5413534000000001,0500000US20011
902,"Finney County, Kansas",37097.0,29630.0,1260.0,789.0,1712.0,98.0,5019.0,0.53125,0500000US20055
903,"Hamilton County, Kansas",2621.0,2305.0,117.0,21.0,0.0,0.0,226.0,0.61538458,0500000US20075
904,"Kiowa County, Kansas",2524.0,2424.0,41.0,53.0,36.0,0.0,16.0,0.46153846,0500000US20097
905,"Leavenworth County, Kansas",79359.0,68833.0,8795.0,1649.0,1814.0,143.0,1717.0,0.82793891,0500000US20103
906,"Shawnee County, Kansas",178392.0,155631.0,18527.0,5199.0,3384.0,330.0,4866.0,0.72883993,0500000US20177
907,"Sherman County, Kansas",5999.0,5574.0,58.0,20.0,111.0,0.0,288.0,0.53030306,0500000US20181
908,"Stanton County, Kansas",2107.0,1855.0,73.0,23.0,29.0,29.0,208.0,0.42857143,0500000US20187
909,"Thomas County, Kansas",7847.0,7469.0,132.0,76.0,73.0,4.0,186.0,0.60655737,0500000US20193
910,"Meade County, Kansas",4295.0,3801.0,59.0,56.0,52.0,10.0,401.0,0.58333331,0500000US20119
911,"Montgomery County, Kansas",33463.0,29835.0,2262.0,2009.0,422.0,78.0,323.0,0.49173555,0500000US20125
912,"Morris County, Kansas",5605.0,5510.0,74.0,112.0,54.0,0.0,39.0,0.53846151,0500000US20127
913,"Pratt County, Kansas",9670.0,9531.0,58.0,140.0,49.0,0.0,34.0,0.66197181,0500000US20151
914,"Rawlins County, Kansas",2520.0,2463.0,15.0,16.0,25.0,0.0,31.0,0.34999999,0500000US20153
915,"Rooks County, Kansas",5148.0,5059.0,74.0,55.0,28.0,0.0,23.0,0.51020408,0500000US20163
916,"Anderson County, Kansas",7840.0,7548.0,19.0,301.0,0.0,0.0,22.0,0.56716418,0500000US20003
917,"Clark County, Kansas",2089.0,2016.0,56.0,56.0,19.0,0.0,0.0,0.42105263,0500000US20025
918,"Ellsworth County, Kansas",6331.0,5794.0,284.0,197.0,57.0,0.0,161.0,0.5,0500000US20053
919,"Geary County, Kansas",35796.0,27015.0,7601.0,696.0,1692.0,378.0,804.0,0.39901477,0500000US20061
920,"Harper County, Kansas",5746.0,5574.0,32.0,155.0,17.0,0.0,12.0,0.51785713,0500000US20077
921,"Ford County, Kansas",34658.0,31580.0,976.0,330.0,565.0,100.0,1862.0,0.55440414,0500000US20057
922,"Russell County, Kansas",6987.0,6799.0,117.0,118.0,7.0,80.0,0.0,0.49019608,0500000US20167
923,"Lyon County, Kansas",33302.0,30886.0,1218.0,812.0,1086.0,54.0,857.0,0.50607288,0500000US20111
924,"Marshall County, Kansas",9859.0,9703.0,55.0,144.0,33.0,28.0,52.0,0.57647061,0500000US20117
925,"Pawnee County, Kansas",6776.0,6296.0,397.0,146.0,9.0,0.0,136.0,0.58730161,0500000US20145
926,"Allen County, Kansas",12752.0,12392.0,413.0,231.0,90.0,31.0,62.0,0.64423078,0500000US20001
927,"Cheyenne County, Kansas",2677.0,2561.0,5.0,47.0,26.0,0.0,102.0,0.33333331,0500000US20023
928,"Comanche County, Kansas",1741.0,1734.0,0.0,9.0,0.0,4.0,7.0,0.47058824,0500000US20033
929,"Cowley County, Kansas",35732.0,32795.0,1551.0,1447.0,721.0,61.0,595.0,0.554717,0500000US20035
930,"Elk County, Kansas",2581.0,2504.0,6.0,130.0,23.0,8.0,8.0,0.33333331,0500000US20049
931,"Gove County, Kansas",2632.0,2580.0,6.0,40.0,28.0,0.0,5.0,0.6111111,0500000US20063
932,"Franklin County, Kansas",25599.0,24452.0,557.0,485.0,202.0,2.0,637.0,0.54500002,0500000US20059
933,"Harvey County, Kansas",34683.0,33158.0,909.0,580.0,441.0,53.0,332.0,0.62348181,0500000US20079
934,"Hodgeman County, Kansas",1875.0,1816.0,18.0,7.0,57.0,0.0,0.0,0.64285713,0500000US20083
935,"Jewell County, Kansas",2963.0,2930.0,27.0,37.0,3.0,4.0,10.0,0.57692307,0500000US20089
936,"Kearny County, Kansas",3931.0,3467.0,92.0,70.0,17.0,0.0,390.0,0.44827586,0500000US20093
937,"Rice County, Kansas",9868.0,9276.0,243.0,137.0,100.0,57.0,307.0,0.58536589,0500000US20159
938,"Stafford County, Kansas",4251.0,4137.0,28.0,73.0,35.0,20.0,48.0,0.45454544,0500000US20185
939,"McPherson County, Kansas",28792.0,27829.0,588.0,450.0,402.0,61.0,242.0,0.5960784,0500000US20113
940,"Osage County, Kansas",15894.0,15700.0,213.0,285.0,89.0,4.0,14.0,0.515625,0500000US20139
941,"Greeley County, Kansas",1210.0,1091.0,22.0,21.0,7.0,0.0,106.0,0.1111111,0500000US20071
942,"Coffey County, Kansas",8328.0,8164.0,74.0,178.0,78.0,0.0,24.0,0.56666666,0500000US20031
943,"Crawford County, Kansas",39099.0,36871.0,1356.0,847.0,898.0,26.0,327.0,0.56748468,0500000US20037
944,"Ellis County, Kansas",28877.0,27805.0,688.0,258.0,495.0,231.0,180.0,0.55980861,0500000US20051
945,"Greenwood County, Kansas",6227.0,6172.0,61.0,209.0,2.0,2.0,26.0,0.52631581,0500000US20073
946,"Labette County, Kansas",20553.0,19388.0,1236.0,850.0,156.0,7.0,82.0,0.57894737,0500000US20099
947,"Linn County, Kansas",9602.0,9378.0,113.0,213.0,31.0,0.0,19.0,0.5316456,0500000US20107
948,"Sedgwick County, Kansas",510484.0,421931.0,55445.0,12310.0,26162.0,943.0,15470.0,0.87653625,0500000US20173
949,"Seward County, Kansas",22948.0,14119.0,1249.0,453.0,808.0,7.0,6976.0,0.45801526,0500000US20175
950,"Republic County, Kansas",4705.0,4651.0,26.0,43.0,32.0,0.0,3.0,0.57142854,0500000US20157
951,"Graham County, Kansas",2561.0,2412.0,172.0,39.0,26.0,0.0,0.0,0.52173913,0500000US20065
952,"Johnson County, Kansas",578797.0,516757.0,34249.0,5963.0,32674.0,891.0,6773.0,0.95040238,0500000US20091
953,"Douglas County, Kansas",117806.0,102827.0,7153.0,4691.0,6896.0,50.0,1901.0,0.90935516,0500000US20045
954,"Sheridan County, Kansas",2497.0,2437.0,12.0,33.0,0.0,0.0,17.0,0.23076923,0500000US20179
955,"Miami County, Kansas",32976.0,32003.0,628.0,478.0,246.0,7.0,88.0,0.57794678,0500000US20121
956,"Gray County, Kansas",6004.0,5948.0,44.0,9.0,12.0,15.0,2.0,0.52941179,0500000US20069
957,"Wallace County, Kansas",1591.0,1560.0,13.0,13.0,0.0,0.0,25.0,0.41666669,0500000US20199
958,"Chase County, Kansas",2665.0,2601.0,71.0,45.0,0.0,0.0,25.0,0.59090906,0500000US20017
959,"Stevens County, Kansas",5741.0,5260.0,5.0,79.0,70.0,61.0,498.0,0.61363637,0500000US20189
960,"Washington County, Kansas",5572.0,5491.0,92.0,54.0,7.0,0.0,55.0,0.68627447,0500000US20201
961,"Wichita County, Kansas",2157.0,1980.0,33.0,17.0,15.0,0.0,144.0,0.42857143,0500000US20203
962,"Chautauqua County, Kansas",3425.0,3231.0,42.0,306.0,0.0,0.0,0.0,0.48484847,0500000US20019
963,"Morton County, Kansas",2931.0,2815.0,111.0,39.0,4.0,0.0,125.0,0.2173913,0500000US20129
964,"Norton County, Kansas",5527.0,5226.0,170.0,170.0,22.0,18.0,120.0,0.46341464,0500000US20137
965,"Reno County, Kansas",63360.0,60001.0,2730.0,1137.0,483.0,36.0,774.0,0.57861638,0500000US20155
966,"Barton County, Kansas",27067.0,25656.0,636.0,474.0,115.0,76.0,722.0,0.55348837,0500000US20009
967,"Cloud County, Kansas",9191.0,8943.0,93.0,195.0,65.0,16.0,136.0,0.51948053,0500000US20029
968,"Doniphan County, Kansas",7790.0,7353.0,326.0,228.0,49.0,0.0,13.0,0.55696201,0500000US20043
969,"Edwards County, Kansas",2946.0,2789.0,59.0,29.0,17.0,0.0,84.0,0.36363637,0500000US20047
970,"Haskell County, Kansas",4081.0,3635.0,6.0,59.0,24.0,1.0,380.0,0.54838711,0500000US20081
971,"Lane County, Kansas",1702.0,1650.0,4.0,41.0,0.0,7.0,3.0,0.46153846,0500000US20101
972,"Rush County, Kansas",3119.0,3073.0,13.0,51.0,19.0,0.0,19.0,0.26666665,0500000US20165
973,"Scott County, Kansas",4981.0,4739.0,0.0,78.0,54.0,0.0,146.0,0.61363637,0500000US20171
974,"Marion County, Kansas",12087.0,11855.0,168.0,348.0,46.0,0.0,38.0,0.56,0500000US20115
975,"Neosho County, Kansas",16209.0,15757.0,316.0,305.0,135.0,34.0,107.0,0.58823526,0500000US20133
976,"Brown County, Kansas",9736.0,8687.0,223.0,1060.0,64.0,12.0,28.0,0.5959595999999999,0500000US20013
977,"Ottawa County, Kansas",5957.0,5863.0,73.0,73.0,56.0,0.0,29.0,0.68000001,0500000US20143
978,"Phillips County, Kansas",5446.0,5388.0,36.0,84.0,33.0,5.0,6.0,0.65789473,0500000US20147
979,"Riley County, Kansas",75696.0,65321.0,6393.0,1195.0,4509.0,263.0,1438.0,0.92598093,0500000US20161
980,"Barber County, Kansas",4905.0,4761.0,69.0,102.0,45.0,0.0,5.0,0.60655737,0500000US20007
981,"Decatur County, Kansas",2891.0,2838.0,35.0,29.0,15.0,0.0,15.0,0.4642857,0500000US20039
982,"Dickinson County, Kansas",19162.0,18617.0,396.0,304.0,166.0,0.0,199.0,0.49367088,0500000US20041
983,"Jefferson County, Kansas",18856.0,18571.0,231.0,462.0,19.0,8.0,77.0,0.62337661,0500000US20087
984,"Harrison County, Kentucky",18630.0,18128.0,558.0,120.0,39.0,0.0,203.0,0.66423357,0500000US21097
985,"Butler County, Kentucky",12735.0,12483.0,79.0,155.0,15.0,3.0,172.0,0.63076925,0500000US21031
986,"Trimble County, Kentucky",8697.0,8614.0,41.0,143.0,8.0,24.0,27.0,0.48351651,0500000US21223
987,"Edmonson County, Kentucky",12063.0,11777.0,277.0,213.0,28.0,17.0,31.0,0.60576922,0500000US21061
988,"Hickman County, Kentucky",4625.0,4179.0,451.0,33.0,44.0,0.0,39.0,0.65714288,0500000US21105
989,"Bracken County, Kentucky",8330.0,8197.0,24.0,15.0,124.0,6.0,76.0,0.44705883,0500000US21023
990,"Lyon County, Kentucky",8268.0,7698.0,518.0,76.0,47.0,16.0,40.0,0.54666668,0500000US21143
991,"Nelson County, Kentucky",45131.0,42157.0,2772.0,223.0,320.0,0.0,439.0,0.59168702,0500000US21179
992,"Wayne County, Kentucky",20692.0,20186.0,507.0,164.0,40.0,17.0,140.0,0.41614905,0500000US21231
993,"Lewis County, Kentucky",13565.0,13385.0,86.0,132.0,68.0,0.0,0.0,0.4789916,0500000US21135
994,"Marion County, Kentucky",19335.0,17428.0,1784.0,47.0,71.0,0.0,217.0,0.62234044,0500000US21155
995,"Trigg County, Kentucky",14286.0,12973.0,1312.0,18.0,61.0,3.0,0.0,0.48648646,0500000US21221
996,"Woodford County, Kentucky",25817.0,24043.0,1499.0,150.0,239.0,13.0,579.0,0.5869565,0500000US21239
997,"Boone County, Kentucky",127682.0,119205.0,5245.0,774.0,3995.0,199.0,1309.0,0.93614,0500000US21015
998,"Leslie County, Kentucky",10648.0,10513.0,88.0,103.0,42.0,0.0,80.0,0.54838711,0500000US21131
999,"Jessamine County, Kentucky",51667.0,48353.0,2578.0,582.0,858.0,4.0,316.0,0.5777778,0500000US21113
1000,"Knox County, Kentucky",31424.0,30734.0,592.0,229.0,122.0,0.0,3.0,0.54852319,0500000US21121
1001,"Lawrence County, Kentucky",15844.0,15703.0,100.0,102.0,131.0,0.0,20.0,0.49285713,0500000US21127
1002,"Letcher County, Kentucky",23011.0,22816.0,215.0,85.0,63.0,0.0,51.0,0.56306303,0500000US21133
1003,"Livingston County, Kentucky",9288.0,9231.0,162.0,58.0,20.0,2.0,5.0,0.61855674,0500000US21139
1004,"McCracken County, Kentucky",65285.0,57075.0,7937.0,574.0,766.0,48.0,356.0,0.81897104,0500000US21145
1005,"Pike County, Kentucky",61586.0,60458.0,661.0,253.0,372.0,0.0,276.0,0.57142854,0500000US21195
1006,"Shelby County, Kentucky",45831.0,41061.0,4067.0,202.0,609.0,88.0,1139.0,0.5398229999999999,0500000US21211
1007,"Whitley County, Kentucky",36027.0,35293.0,488.0,411.0,59.0,16.0,174.0,0.60377359,0500000US21235
1008,"Anderson County, Kentucky",22017.0,21235.0,669.0,133.0,162.0,0.0,125.0,0.65865386,0500000US21005
1009,"Breckinridge County, Kentucky",19991.0,19470.0,572.0,206.0,74.0,0.0,68.0,0.39655173,0500000US21027
1010,"Floyd County, Kentucky",37447.0,36922.0,445.0,177.0,147.0,17.0,70.0,0.44817927,0500000US21071
1011,"Franklin County, Kentucky",49969.0,43028.0,6238.0,365.0,1000.0,9.0,1149.0,0.56999999,0500000US21073
1012,"Kenton County, Kentucky",163987.0,152286.0,10062.0,893.0,2509.0,125.0,2294.0,0.89344132,0500000US21117
1013,"McCreary County, Kentucky",17748.0,16414.0,1094.0,186.0,43.0,28.0,363.0,0.50335574,0500000US21147
1014,"Madison County, Kentucky",88376.0,82836.0,4839.0,814.0,1211.0,126.0,642.0,0.84627837,0500000US21151
1015,"Magoffin County, Kentucky",12783.0,12776.0,3.0,4.0,0.0,0.0,0.0,0.56043959,0500000US21153
1016,"Metcalfe County, Kentucky",9990.0,9822.0,138.0,150.0,49.0,0.0,31.0,0.5321100999999999,0500000US21169
1017,"Owsley County, Kentucky",4497.0,4275.0,198.0,15.0,0.0,0.0,23.0,0.48275864,0500000US21189
1018,"Rowan County, Kentucky",24392.0,23746.0,516.0,93.0,281.0,4.0,57.0,0.60000002,0500000US21205
1019,"Simpson County, Kentucky",17881.0,15592.0,1851.0,207.0,168.0,0.0,347.0,0.65921789,0500000US21213
1020,"Taylor County, Kentucky",25406.0,23901.0,1596.0,181.0,289.0,0.0,73.0,0.4957265,0500000US21217
1021,"Clark County, Kentucky",35757.0,33589.0,2004.0,195.0,238.0,30.0,178.0,0.57328993,0500000US21049
1022,"Todd County, Kentucky",12377.0,10973.0,1104.0,88.0,21.0,0.0,423.0,0.51020408,0500000US21219
1023,"Carlisle County, Kentucky",4890.0,4757.0,122.0,37.0,19.0,0.0,22.0,0.58333331,0500000US21039
1024,"Carroll County, Kentucky",10695.0,9852.0,362.0,92.0,31.0,0.0,509.0,0.50537634,0500000US21041
1025,"Clinton County, Kentucky",10208.0,10030.0,56.0,54.0,18.0,0.0,144.0,0.3611111,0500000US21053
1026,"Estill County, Kentucky",14382.0,14296.0,111.0,236.0,0.0,3.0,25.0,0.5648854999999999,0500000US21065
1027,"Gallatin County, Kentucky",8652.0,8305.0,236.0,48.0,20.0,0.0,204.0,0.54929578,0500000US21077
1028,"Garrard County, Kentucky",17226.0,16964.0,239.0,351.0,25.0,10.0,56.0,0.59863943,0500000US21079
1029,"Greenup County, Kentucky",36012.0,35412.0,446.0,291.0,225.0,28.0,148.0,0.51796407,0500000US21089
1030,"Fleming County, Kentucky",14515.0,14115.0,321.0,54.0,10.0,0.0,159.0,0.55172414,0500000US21069
1031,"Campbell County, Kentucky",91804.0,87391.0,3491.0,483.0,1135.0,81.0,569.0,0.85257524,0500000US21037
1032,"Carter County, Kentucky",27385.0,26985.0,254.0,301.0,69.0,3.0,19.0,0.60964912,0500000US21043
1033,"Elliott County, Kentucky",7533.0,7254.0,271.0,5.0,0.0,0.0,11.0,0.40000001,0500000US21063
1034,"Grant County, Kentucky",24800.0,23925.0,461.0,150.0,49.0,0.0,609.0,0.51269037,0500000US21081
1035,"Jefferson County, Kentucky",764378.0,571854.0,176776.0,5570.0,24691.0,859.0,8138.0,0.88047719,0500000US21111
1036,"Larue County, Kentucky",14102.0,13280.0,561.0,177.0,48.0,0.0,249.0,0.5859375,0500000US21123
1037,"Logan County, Kentucky",26847.0,24839.0,2164.0,109.0,48.0,1.0,272.0,0.5975104,0500000US21141
1038,"Mason County, Kentucky",17167.0,16020.0,1370.0,182.0,134.0,0.0,23.0,0.55263156,0500000US21161
1039,"Mercer County, Kentucky",21378.0,20019.0,1020.0,169.0,163.0,21.0,285.0,0.53535354,0500000US21167
1040,"Pendleton County, Kentucky",14530.0,14326.0,152.0,160.0,77.0,14.0,14.0,0.44666669,0500000US21191
1041,"Robertson County, Kentucky",2161.0,2121.0,68.0,0.0,0.0,0.0,0.0,0.35714287,0500000US21201
1042,"Russell County, Kentucky",17731.0,16979.0,120.0,89.0,94.0,117.0,436.0,0.56410253,0500000US21207
1043,"Spencer County, Kentucky",18012.0,17560.0,342.0,141.0,185.0,0.0,60.0,0.69629633,0500000US21215
1044,"Washington County, Kentucky",11999.0,11017.0,790.0,99.0,91.0,0.0,336.0,0.57391304,0500000US21229
1045,"Bath County, Kentucky",12189.0,11916.0,209.0,119.0,109.0,0.0,101.0,0.44554454,0500000US21011
1046,"Ballard County, Kentucky",8152.0,7747.0,388.0,58.0,47.0,3.0,36.0,0.52564102,0500000US21007
1047,"Barren County, Kentucky",43418.0,41256.0,2117.0,277.0,352.0,39.0,264.0,0.54246575,0500000US21009
1048,"Boyle County, Kentucky",29773.0,27036.0,2685.0,259.0,351.0,40.0,270.0,0.55776894,0500000US21021
1049,"Green County, Kentucky",11044.0,10668.0,490.0,21.0,37.0,0.0,5.0,0.51999998,0500000US21087
1050,"Hancock County, Kentucky",8700.0,8499.0,157.0,80.0,55.0,0.0,14.0,0.5479451999999999,0500000US21091
1051,"Harlan County, Kentucky",27548.0,26570.0,784.0,175.0,131.0,0.0,174.0,0.47058824,0500000US21095
1052,"Martin County, Kentucky",12175.0,11536.0,616.0,148.0,0.0,8.0,23.0,0.32098767,0500000US21159
1053,"Hardin County, Kentucky",107699.0,90802.0,15701.0,1365.0,3450.0,515.0,1602.0,0.84125602,0500000US21093
1054,"Lincoln County, Kentucky",24413.0,23752.0,794.0,219.0,4.0,5.0,270.0,0.53723407,0500000US21137
1055,"McLean County, Kentucky",9361.0,9252.0,76.0,52.0,77.0,0.0,33.0,0.70769233,0500000US21149
1056,"Monroe County, Kentucky",10645.0,10274.0,331.0,19.0,20.0,8.0,66.0,0.5,0500000US21171
1057,"Ohio County, Kentucky",24062.0,23350.0,592.0,117.0,114.0,7.0,110.0,0.59487176,0500000US21183
1058,"Powell County, Kentucky",12349.0,12109.0,138.0,62.0,133.0,12.0,67.0,0.47499999,0500000US21197
1059,"Union County, Kentucky",14915.0,12843.0,2215.0,149.0,51.0,5.0,71.0,0.64963502,0500000US21225
1060,"Webster County, Kentucky",13180.0,12268.0,728.0,82.0,15.0,54.0,394.0,0.55474454,0500000US21233
1061,"Caldwell County, Kentucky",12747.0,11880.0,915.0,54.0,0.0,0.0,13.0,0.54166669,0500000US21033
1062,"Calloway County, Kentucky",38616.0,36175.0,1878.0,320.0,933.0,43.0,238.0,0.51147538,0500000US21035
1063,"Casey County, Kentucky",15805.0,15547.0,174.0,107.0,76.0,0.0,60.0,0.53030306,0500000US21045
1064,"Christian County, Kentucky",72438.0,54360.0,16915.0,1148.0,1556.0,619.0,909.0,0.72343719,0500000US21047
1065,"Daviess County, Kentucky",99258.0,92910.0,6350.0,406.0,1578.0,0.0,417.0,0.86597657,0500000US21059
1066,"Grayson County, Kentucky",26129.0,25433.0,448.0,171.0,77.0,15.0,253.0,0.51666665,0500000US21085
1067,"Henderson County, Kentucky",46252.0,42113.0,4287.0,272.0,303.0,32.0,596.0,0.55213267,0500000US21101
1068,"Henry County, Kentucky",15677.0,14752.0,608.0,136.0,55.0,17.0,295.0,0.63043481,0500000US21103
1069,"Hopkins County, Kentucky",45985.0,42435.0,3664.0,275.0,368.0,7.0,323.0,0.57499999,0500000US21107
1070,"Jackson County, Kentucky",13369.0,13350.0,48.0,38.0,0.0,0.0,0.0,0.56034482,0500000US21109
1071,"Laurel County, Kentucky",59901.0,58726.0,654.0,483.0,439.0,36.0,229.0,0.54961836,0500000US21125
1072,"Marshall County, Kentucky",31177.0,30754.0,344.0,98.0,162.0,0.0,132.0,0.62839878,0500000US21157
1073,"Meade County, Kentucky",28452.0,26995.0,1379.0,326.0,324.0,75.0,157.0,0.54724413,0500000US21163
1074,"Montgomery County, Kentucky",27550.0,26385.0,992.0,156.0,12.0,131.0,253.0,0.48106059,0500000US21173
1075,"Nicholas County, Kentucky",7061.0,6904.0,109.0,78.0,0.0,0.0,53.0,0.54666668,0500000US21181
1076,"Oldham County, Kentucky",64633.0,60423.0,3282.0,607.0,1373.0,153.0,784.0,0.92908448,0500000US21185
1077,"Owen County, Kentucky",10686.0,10280.0,220.0,37.0,0.0,10.0,178.0,0.4623656,0500000US21187
1078,"Rockcastle County, Kentucky",16815.0,16591.0,45.0,187.0,47.0,12.0,3.0,0.50724638,0500000US21203
1079,"Scott County, Kentucky",52322.0,47702.0,3488.0,299.0,951.0,2.0,1616.0,0.56280196,0500000US21209
1080,"Warren County, Kentucky",123824.0,103895.0,13241.0,869.0,4748.0,647.0,3455.0,0.88760239,0500000US21227
1081,"Allen County, Kentucky",20628.0,19981.0,470.0,48.0,41.0,0.0,237.0,0.55813956,0500000US21003
1082,"Bourbon County, Kentucky",20017.0,18214.0,1542.0,34.0,66.0,9.0,283.0,0.57714289,0500000US21017
1083,"Boyd County, Kentucky",48486.0,46869.0,1834.0,471.0,415.0,2.0,164.0,0.58449304,0500000US21019
1084,"Bullitt County, Kentucky",78622.0,77040.0,1206.0,716.0,708.0,88.0,326.0,0.8299824,0500000US21029
1085,"Crittenden County, Kentucky",9154.0,9013.0,199.0,22.0,5.0,19.0,18.0,0.77777779,0500000US21055
1086,"Fayette County, Kentucky",315109.0,247305.0,51791.0,2950.0,14063.0,306.0,9701.0,0.90085948,0500000US21067
1087,"Fulton County, Kentucky",6259.0,4610.0,1701.0,146.0,16.0,7.0,35.0,0.39655173,0500000US21075
1088,"Johnson County, Kentucky",23064.0,22646.0,140.0,90.0,275.0,0.0,58.0,0.52657008,0500000US21115
1089,"Knott County, Kentucky",15690.0,15531.0,76.0,77.0,63.0,122.0,45.0,0.45925927,0500000US21119
1090,"Menifee County, Kentucky",6381.0,6355.0,17.0,31.0,38.0,0.0,1.0,0.4074074,0500000US21165
1091,"Morgan County, Kentucky",13281.0,12653.0,620.0,108.0,87.0,0.0,57.0,0.47619048,0500000US21175
1092,"Muhlenberg County, Kentucky",31153.0,29377.0,1662.0,169.0,113.0,66.0,328.0,0.63414633,0500000US21177
1093,"Perry County, Kentucky",27329.0,26490.0,578.0,74.0,242.0,102.0,35.0,0.51867217,0500000US21193
1094,"Pulaski County, Kentucky",63974.0,62199.0,1122.0,542.0,569.0,0.0,460.0,0.55311972,0500000US21199
1095,"Wolfe County, Kentucky",7251.0,7171.0,43.0,43.0,11.0,11.0,14.0,0.44067794,0500000US21237
1096,"Clay County, Kentucky",20866.0,19766.0,935.0,190.0,64.0,18.0,209.0,0.44910181,0500000US21051
1097,"Adair County, Kentucky",19304.0,18424.0,793.0,97.0,22.0,0.0,143.0,0.59375,0500000US21001
1098,"Bell County, Kentucky",27469.0,26437.0,1113.0,132.0,172.0,19.0,64.0,0.51984125,0500000US21013
1099,"Breathitt County, Kentucky",13276.0,13059.0,228.0,46.0,37.0,0.0,25.0,0.49599999,0500000US21025
1100,"Cumberland County, Kentucky",6744.0,6431.0,304.0,6.0,46.0,0.0,112.0,0.51785713,0500000US21057
1101,"Graves County, Kentucky",37259.0,34507.0,2082.0,373.0,219.0,84.0,787.0,0.52857143,0500000US21083
1102,"Hart County, Kentucky",18531.0,17486.0,995.0,117.0,87.0,4.0,73.0,0.57058823,0500000US21099
1103,"Lee County, Kentucky",6717.0,6575.0,90.0,57.0,35.0,0.0,0.0,0.51724136,0500000US21129
1104,"Hancock County, Maine",54468.0,53061.0,621.0,592.0,839.0,222.0,79.0,0.5020833,0500000US23009
1105,"Oxford County, Maine",57230.0,56376.0,452.0,932.0,587.0,18.0,121.0,0.5438930999999999,0500000US23017
1106,"Lincoln County, Maine",34021.0,33395.0,143.0,322.0,446.0,17.0,40.0,0.48407641,0500000US23015
1107,"Waldo County, Maine",39280.0,38638.0,367.0,573.0,362.0,12.0,98.0,0.55351681,0500000US23027
1108,"Penobscot County, Maine",152284.0,147237.0,2040.0,3343.0,2205.0,69.0,463.0,0.86383432,0500000US23019
1109,"Piscataquis County, Maine",16960.0,16574.0,159.0,236.0,164.0,10.0,94.0,0.55491328,0500000US23021
1110,"Androscoggin County, Maine",107317.0,103995.0,3044.0,4295.0,1524.0,72.0,309.0,0.86052001,0500000US23001
1111,"Aroostook County, Maine",68840.0,66557.0,876.0,1858.0,448.0,25.0,205.0,0.73150146,0500000US23003
1112,"Washington County, Maine",31822.0,29802.0,338.0,2053.0,229.0,33.0,220.0,0.44318181,0500000US23029
