"County, State",GEO ID,FSRR2010,State,County
"Calhoun County, Arkansas",0500000US05013,47,05,013
"Carroll County, Arkansas",0500000US05015,59.4,05,015
"Chicot County, Arkansas",0500000US05017,54.4,05,017
"Clark County, Arkansas",0500000US05019,60.6,05,019
"Clay County, Arkansas",0500000US05021,62.3,05,021
"Cleburne County, Arkansas",0500000US05023,56.9,05,023
"Cleveland County, Arkansas",0500000US05025,61.2,05,025
"Columbia County, Arkansas",0500000US05027,59,05,027
"Conway County, Arkansas",0500000US05029,63.1,05,029
"Craighead County, Arkansas",0500000US05031,67.9,05,031
"Crawford County, Arkansas",0500000US05033,65.4,05,033
"Crittenden County, Arkansas",0500000US05035,59,05,035
"Cross County, Arkansas",0500000US05037,61.1,05,037
"Dallas County, Arkansas",0500000US05039,51.3,05,039
"Desha County, Arkansas",0500000US05041,53.6,05,041
"Drew County, Arkansas",0500000US05043,53,05,043
"Faulkner County, Arkansas",0500000US05045,67.3,05,045
"Franklin County, Arkansas",0500000US05047,62.8,05,047
"Fulton County, Arkansas",0500000US05049,55.4,05,049
"Garland County, Arkansas",0500000US05051,60.9,05,051
"Grant County, Arkansas",0500000US05053,65,05,053
"Greene County, Arkansas",0500000US05055,68.4,05,055
"Hempstead County, Arkansas",0500000US05057,55.2,05,057
"Hot Spring County, Arkansas",0500000US05059,53.7,05,059
"Howard County, Arkansas",0500000US05061,59.7,05,061
"Independence County, Arkansas",0500000US05063,66.6,05,063
"Izard County, Arkansas",0500000US05065,52.2,05,065
"Jackson County, Arkansas",0500000US05067,60.3,05,067
"Jefferson County, Arkansas",0500000US05069,60,05,069
"Johnson County, Arkansas",0500000US05071,60.3,05,071
"Lafayette County, Arkansas",0500000US05073,51.2,05,073
"Lawrence County, Arkansas",0500000US05075,62,05,075
"Lee County, Arkansas",0500000US05077,49.5,05,077
"Lincoln County, Arkansas",0500000US05079,50.7,05,079
"Little River County, Arkansas",0500000US05081,57.4,05,081
"Logan County, Arkansas",0500000US05083,63.6,05,083
"Lonoke County, Arkansas",0500000US05085,66.5,05,085
"Madison County, Arkansas",0500000US05087,58,05,087
"Marion County, Arkansas",0500000US05089,58.2,05,089
"Miller County, Arkansas",0500000US05091,64.3,05,091
"Mississippi County, Arkansas",0500000US05093,57,05,093
"Monroe County, Arkansas",0500000US05095,49.6,05,095
"Montgomery County, Arkansas",0500000US05097,50.5,05,097
"Nevada County, Arkansas",0500000US05099,52.8,05,099
"Newton County, Arkansas",0500000US05101,51.8,05,101
"Ouachita County, Arkansas",0500000US05103,58,05,103
"Perry County, Arkansas",0500000US05105,58.4,05,105
"Phillips County, Arkansas",0500000US05107,46.4,05,107
"Pike County, Arkansas",0500000US05109,56.7,05,109
"Poinsett County, Arkansas",0500000US05111,61.5,05,111
"Polk County, Arkansas",0500000US05113,59.8,05,113
"Pope County, Arkansas",0500000US05115,66.7,05,115
"Prairie County, Arkansas",0500000US05117,53.2,05,117
"Pulaski County, Arkansas",0500000US05119,65,05,119
"Randolph County, Arkansas",0500000US05121,63.5,05,121
"St. Francis County, Arkansas",0500000US05123,52,05,123
"Saline County, Arkansas",0500000US05125,69.5,05,125
"Scott County, Arkansas",0500000US05127,59.1,05,127
"Searcy County, Arkansas",0500000US05129,52.7,05,129
"Sebastian County, Arkansas",0500000US05131,65.6,05,131
"Sevier County, Arkansas",0500000US05133,60.9,05,133
"Sharp County, Arkansas",0500000US05135,55.5,05,135
"Stone County, Arkansas",0500000US05137,58.1,05,137
"Union County, Arkansas",0500000US05139,62.1,05,139
"Van Buren County, Arkansas",0500000US05141,53.5,05,141
"Washington County, Arkansas",0500000US05143,60,05,143
"White County, Arkansas",0500000US05145,64.5,05,145
"Woodruff County, Arkansas",0500000US05147,55.3,05,147
"Yell County, Arkansas",0500000US05149,57.2,05,149
"Alameda County, California",0500000US06001,70.2,06,001
"Alpine County, California",0500000US06003,20.2,06,003
"Amador County, California",0500000US06005,50.2,06,005
"Butte County, California",0500000US06007,65.6,06,007
"Calaveras County, California",0500000US06009,45.2,06,009
"Colusa County, California",0500000US06011,58.2,06,011
"Contra Costa County, California",0500000US06013,72.1,06,013
"Del Norte County, California",0500000US06015,59.6,06,015
"El Dorado County, California",0500000US06017,58.8,06,017
"Fresno County, California",0500000US06019,66.8,06,019
"Glenn County, California",0500000US06021,67.6,06,021
"Humboldt County, California",0500000US06023,62.6,06,023
"Imperial County, California",0500000US06025,58.5,06,025
"Inyo County, California",0500000US06027,70.3,06,027
"Kern County, California",0500000US06029,65.2,06,029
"Kings County, California",0500000US06031,64.1,06,031
"Lake County, California",0500000US06033,42.6,06,033
"Lassen County, California",0500000US06035,51.4,06,035
"Los Angeles County, California",0500000US06037,69,06,037
"Madera County, California",0500000US06039,67.8,06,039
"Marin County, California",0500000US06041,72.1,06,041
"Mariposa County, California",0500000US06043,56.7,06,043
"Mendocino County, California",0500000US06045,53.6,06,045
"Merced County, California",0500000US06047,63.8,06,047
"Modoc County, California",0500000US06049,53.3,06,049
"Mono County, California",0500000US06051,25.2,06,051
"Monterey County, California",0500000US06053,64.4,06,053
"Napa County, California",0500000US06055,68.1,06,055
"Nevada County, California",0500000US06057,61.6,06,057
"Orange County, California",0500000US06059,71.7,06,059
"Placer County, California",0500000US06061,67.5,06,061
"Plumas County, California",0500000US06063,33,06,063
"Riverside County, California",0500000US06065,63.5,06,065
"Sacramento County, California",0500000US06067,70.1,06,067
"San Benito County, California",0500000US06069,67.5,06,069
"San Bernardino County, California",0500000US06071,65.4,06,071
"San Diego County, California",0500000US06073,68,06,073
"San Francisco County, California",0500000US06075,68.5,06,075
"San Joaquin County, California",0500000US06077,66.5,06,077
"San Luis Obispo County, California",0500000US06079,66.3,06,079
"San Mateo County, California",0500000US06081,73.2,06,081
"Santa Barbara County, California",0500000US06083,68.5,06,083
"Santa Clara County, California",0500000US06085,74,06,085
"Santa Cruz County, California",0500000US06087,67.8,06,087
"Shasta County, California",0500000US06089,65.8,06,089
"Sierra County, California",0500000US06091,44.1,06,091
"Siskiyou County, California",0500000US06093,56.5,06,093
"Solano County, California",0500000US06095,67.9,06,095
"Sonoma County, California",0500000US06097,68.6,06,097
"Stanislaus County, California",0500000US06099,66.7,06,099
"Sutter County, California",0500000US06101,69.1,06,101
"Tehama County, California",0500000US06103,61.4,06,103
"Trinity County, California",0500000US06105,47.4,06,105
"Tulare County, California",0500000US06107,65,06,107
"Tuolumne County, California",0500000US06109,48.2,06,109
"Ventura County, California",0500000US06111,72.5,06,111
"Yolo County, California",0500000US06113,71.5,06,113
"Yuba County, California",0500000US06115,62,06,115
"Adams County, Colorado",0500000US08001,69.3,08,001
"Alamosa County, Colorado",0500000US08003,60.6,08,003
"Arapahoe County, Colorado",0500000US08005,71.2,08,005
"Archuleta County, Colorado",0500000US08007,42.7,08,007
"Baca County, Colorado",0500000US08009,54.2,08,009
"Bent County, Colorado",0500000US08011,55.8,08,011
"Boulder County, Colorado",0500000US08013,73.4,08,013
