,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate (%)
0,"Corozal Municipio, Puerto Rico",34933.0,38.1,14752.0,7887.0,19146.0,54.807774883348124
1,"Maunabo Municipio, Puerto Rico",11297.0,43.5,17636.0,8830.0,5945.0,52.62459059927414
2,"Peñuelas Municipio, Puerto Rico",21661.0,36.4,16868.0,7983.0,12379.0,57.14879276118369
3,"Ponce Municipio, Puerto Rico",148863.0,39.5,16561.0,10775.0,75187.0,50.50751361990555
4,"San Sebastián Municipio, Puerto Rico",38970.0,42.0,14275.0,8072.0,21472.0,55.09879394405953
5,"Toa Alta Municipio, Puerto Rico",74169.0,37.1,29672.0,14162.0,22070.0,29.756367215413448
6,"Toa Baja Municipio, Puerto Rico",81905.0,38.9,24583.0,12240.0,29279.0,35.74751236188267
7,"Vieques Municipio, Puerto Rico",8931.0,41.4,16261.0,11136.0,3260.0,36.50207143656925
8,"Yabucoa Municipio, Puerto Rico",35025.0,41.6,15586.0,8672.0,18297.0,52.23982869379015
9,"Aguada Municipio, Puerto Rico",39470.0,41.0,16199.0,9001.0,20558.0,52.08512794527489
10,"Caguas Municipio, Puerto Rico",134269.0,39.7,24229.0,13904.0,50442.0,37.5678674898897
11,"Canóvanas Municipio, Puerto Rico",46779.0,39.0,19986.0,11094.0,19930.0,42.60458752859189
12,"Cidra Municipio, Puerto Rico",41181.0,38.7,20389.0,10965.0,17723.0,43.03683737646002
13,"Coamo Municipio, Puerto Rico",39796.0,39.4,19110.0,10307.0,19197.0,48.23851643381244
14,"Dorado Municipio, Puerto Rico",37722.0,39.5,29354.0,15495.0,12475.0,33.0708870155347
15,"Luquillo Municipio, Puerto Rico",18952.0,39.8,19377.0,10434.0,8649.0,45.636344449134654
16,"Barranquitas Municipio, Puerto Rico",29237.0,35.5,15694.0,7716.0,17530.0,59.95827205253617
17,"Orocovis Municipio, Puerto Rico",21906.0,37.9,14296.0,7326.0,12276.0,56.039441248972885
18,"San Lorenzo Municipio, Puerto Rico",38689.0,40.2,18589.0,10497.0,17626.0,45.55816898860141
19,"Añasco Municipio, Puerto Rico",27892.0,41.3,18765.0,9344.0,12618.0,45.23877814427076
20,"Ceiba Municipio, Puerto Rico",12238.0,40.9,18998.0,11840.0,5285.0,43.18516097401536
21,"Ciales Municipio, Puerto Rico",17325.0,40.5,14432.0,8049.0,9970.0,57.54689754689755
22,"Comerío Municipio, Puerto Rico",19914.0,38.1,13523.0,7047.0,11657.0,58.53670784372803
23,"Isabela Municipio, Puerto Rico",43314.0,40.8,16333.0,8798.0,23262.0,53.705499376644966
24,"Jayuya Municipio, Puerto Rico",15297.0,36.3,15615.0,7179.0,9065.0,59.25998561809505
25,"Lares Municipio, Puerto Rico",27321.0,41.1,12820.0,8212.0,15252.0,55.82518941473592
26,"Las Piedras Municipio, Puerto Rico",38253.0,38.1,20587.0,10342.0,17358.0,45.37683318955376
27,"Río Grande Municipio, Puerto Rico",51768.0,40.2,22584.0,10804.0,19441.0,37.55408746716118
28,"San Juan Municipio, Puerto Rico",355181.0,41.8,21677.0,18160.0,147147.0,41.4287363344323
29,"Vega Alta Municipio, Puerto Rico",38589.0,37.8,18053.0,10492.0,19087.0,49.462281997460416
30,"Vega Baja Municipio, Puerto Rico",54754.0,40.1,18900.0,10197.0,23835.0,43.53106622347226
31,"Maricao Municipio, Puerto Rico",6180.0,42.7,13462.0,5943.0,4020.0,65.04854368932038
32,"Aibonito Municipio, Puerto Rico",24008.0,40.7,18387.0,10224.0,11806.0,49.17527490836388
33,"Guayanilla Municipio, Puerto Rico",19578.0,40.3,14988.0,8347.0,10869.0,55.51639595464297
34,"Juncos Municipio, Puerto Rico",39704.0,37.6,18533.0,9017.0,20219.0,50.9243401168648
35,"Lajas Municipio, Puerto Rico",23893.0,43.4,13896.0,7229.0,14454.0,60.494705562298584
36,"Sabana Grande Municipio, Puerto Rico",23610.0,40.9,15736.0,9158.0,11506.0,48.73358746293943
37,"Adjuntas Municipio, Puerto Rico",18525.0,39.5,11680.0,7117.0,11849.0,63.96221322537112
38,"Camuy Municipio, Puerto Rico",32936.0,40.1,17579.0,9738.0,15927.0,48.35742045178528
39,"Guánica Municipio, Puerto Rico",17327.0,41.4,12653.0,7207.0,11288.0,65.14688059098516
40,"Hormigueros Municipio, Puerto Rico",16474.0,45.1,19674.0,11588.0,6476.0,39.31042855408523
41,"Manatí Municipio, Puerto Rico",40705.0,40.9,18191.0,10559.0,18707.0,45.95749907873726
42,"Naguabo Municipio, Puerto Rico",26584.0,37.0,18976.0,10016.0,13071.0,49.168672885946435
43,"Naranjito Municipio, Puerto Rico",29112.0,38.7,18069.0,8996.0,13748.0,47.22451222863424
44,"San Germán Municipio, Puerto Rico",32937.0,42.7,15036.0,9563.0,16701.0,50.70589306858548
45,"Utuado Municipio, Puerto Rico",30209.0,41.7,15931.0,8140.0,16000.0,52.96434837300142
46,"Arecibo Municipio, Puerto Rico",89550.0,41.4,17289.0,9954.0,43039.0,48.06141820212172
47,"Arroyo Municipio, Puerto Rico",18504.0,38.7,15689.0,7639.0,10487.0,56.674232598357115
48,"Cataño Municipio, Puerto Rico",25595.0,39.1,18663.0,11627.0,12639.0,49.38073842547372
49,"Florida Municipio, Puerto Rico",12140.0,38.2,16919.0,7837.0,6839.0,56.33443163097199
50,"Hatillo Municipio, Puerto Rico",40978.0,40.7,17770.0,10360.0,18522.0,45.19986334130509
51,"Humacao Municipio, Puerto Rico",54736.0,41.3,18735.0,11682.0,24820.0,45.34492838351359
52,"Juana Díaz Municipio, Puerto Rico",47952.0,37.5,20228.0,10244.0,22662.0,47.25975975975976
53,"Morovis Municipio, Puerto Rico",31785.0,37.0,18739.0,8816.0,15639.0,49.20245398773006
54,"Mayagüez Municipio, Puerto Rico",79615.0,39.9,14642.0,10656.0,40790.0,51.234063932676
55,"Santa Isabel Municipio, Puerto Rico",22475.0,37.2,16816.0,10478.0,11045.0,49.143492769744164
56,"Trujillo Alto Municipio, Puerto Rico",69478.0,39.3,31202.0,15703.0,21009.0,30.238348829845417
57,"Quebradillas Municipio, Puerto Rico",24548.0,39.3,16082.0,9287.0,12679.0,51.6498289066319
58,"Guayama Municipio, Puerto Rico",42623.0,37.5,15296.0,9183.0,22269.0,52.24643971564648
59,"Moca Municipio, Puerto Rico",37676.0,38.6,13413.0,7881.0,21615.0,57.3707399936299
60,"Culebra Municipio, Puerto Rico",1494.0,39.3,23355.0,11450.0,615.0,41.16465863453815
61,"Gurabo Municipio, Puerto Rico",47074.0,38.3,32625.0,16559.0,14583.0,30.978884309810088
